Year,Mo,Dy,Location,Latitude,Longitude,Frequency,Count,Cluster,Mag,Richter Classification,Deaths,Injuries,Damage in $,Houses Destroyed,Houses Damaged
1905,4,4,KANGRA,32.597,76.916,Less Frequent,2,1,7.9,Major,19000,,,100000,
1941,6,26,ANDAMAN ISLANDS,11.94,92.626,Less Frequent,1,1,8,Great,,,,,
1943,10,23,ASSAM,26.705,93.829,Less Frequent,1,1,7.2,Major,,,,,
1947,7,29,NORTH EAST INDIA,28.5,94,Less Frequent,1,1,7.9,Major,,,,,
1950,8,15,NORTH EAST INDIA,28.5,96.5,Less Frequent,1,1,8.6,Great,1530,,20,,
1955,5,17,LITTLE NICOBAR ISLAND,6.5,94,Less Frequent,2,1,7.3,Major,,,,,
1956,7,21,ANJAR,23.278,70.107,Frequent,5,2,6,Strong,156,,,,
1960,8,27,NEW DELHI,28.6,76.7,Less Frequent,3,1,4.8,Light,,,,,
1961,2,4,MANIPUR,24.9,93.34,Frequent,5,2,7.6,Major,,,,,
1963,9,2,KASHMIR:  SW,33.9,74.8,Less Frequent,1,1,5.3,Moderate,80,,,,
1966,8,15,NORTH INDIA,28.7,78.9,Less Frequent,1,1,5.6,Moderate,15,,,,
1967,12,10,MAHARASHTRA,17.412,73.885,Very Frequent,8,0,6.6,Strong,180,,0.4,,
1970,3,23,BROACH,21.7,73,Less Frequent,1,1,5.4,Moderate,26,200,,,
1975,1,19,KINNAUR,32.46,78.43,Less Frequent,1,1,6.8,Strong,47,,,,
1980,8,23,KASHMIR,32.913,75.633,Frequent,6,2,4.9,Light,15,40,,,
1980,8,23,KASHMIR,32.834,75.629,Frequent,6,2,4.8,Light,,,,,
1982,1,20,LITTLE NICOBAR ISLAND,6.946,94.002,Less Frequent,2,1,6.3,Strong,,,,,
1984,12,30,ASSAM CACHAR,24.641,92.891,Frequent,5,2,5.6,Moderate,20,100,,,
1986,4,26,KASHMIR,32.128,76.374,Less Frequent,2,1,5.3,Moderate,6,30,,,
1991,10,19,CHAMOLI,30.78,78.774,Frequent,5,2,7,Major,2000,1800,60,7500,7500
1991,11,8,"JODHPUR, JAISALMER",26.323,70.607,Less Frequent,2,1,5,Moderate,,,,,
1993,9,29,LATUR-OSMANABAD,18.066,76.451,Less Frequent,2,1,6.2,Strong,11000,30000,300,,
1993,11,12,LATUR,18.12,76.533,Less Frequent,2,1,4.6,Light,,25,,,
1997,5,21,JABALPUR,23.083,80.041,Less Frequent,1,1,5.8,Moderate,56,1000,143,8546,8546
1997,11,21,"CHITTAGONG,  BANGLADESH",22.212,92.702,Less Frequent,2,1,6.1,Strong,23,200,,1,
1999,3,28,CHAMOLI,30.512,79.403,Frequent,5,2,6.6,Strong,100,394,70,21100,21100
2000,1,3,MAHESHKHALI,22.132,92.771,Less Frequent,2,1,4.6,Light,,,,,
2001,1,26,GUJARAT: BHUJ,23.388,70.326,Frequent,5,2,7.6,Major,20005,166836,2623,339000,339000
2002,9,13,ANDAMAN: RONGAT,13.036,93.068,Less Frequent,3,1,6.5,Strong,2,,,40,
2004,12,9,HAILAKANDI,24.757,92.539,Frequent,5,2,5.4,Moderate,,,,,
2005,2,15,KHASPUR,24.55,92.524,Frequent,5,2,5.1,Moderate,,,,,
2005,3,14,MAHARASHTRA,17.145,73.73,Very Frequent,8,0,4.9,Light,,45,,,
2005,3,15,MAHARASHTRA,17.072,73.668,Very Frequent,8,0,4.3,Light,,,,,
2005,7,24,ANDAMAN,7.92,92.19,Less Frequent,2,1,7.2,Major,,,,,
2005,8,14,MAHARASHTRA,17.398,74.118,Very Frequent,8,0,4.4,Light,,,,,
2005,8,16,UTTARANCHAL,30.924,78.56,Frequent,5,2,4.4,Light,,,,,
2005,8,30,MAHARASHTRA,17.067,73.773,Very Frequent,8,0,4.7,Light,,,,,
2005,12,14,JAUSARI,30.476,79.255,Frequent,5,2,5.3,Moderate,1,4,,1,1
2006,2,14,SIKKIM,27.382,88.388,Less Frequent,3,1,5.3,Moderate,2,2,,,
2006,3,7,GUJARAT,23.777,70.899,Frequent,5,2,5.5,Moderate,,7,,,
2006,4,6,GUJARAT,23.322,70.477,Frequent,5,2,5.5,Moderate,,,,,
2006,12,24,RAJASTHAN,26.88,76.15,Less Frequent,1,1,4.2,Light,,,,,
2007,7,22,UTTARKASHI,30.881,78.239,Less Frequent,3,1,4.3,Light,,3,,,
2007,8,20,SATARA,17.2,73.7,Very Frequent,8,0,4.4,Light,,,,,
2007,11,6,GUJARAT,21.181,70.724,Less Frequent,2,1,5.1,Moderate,1,5,,,
2007,11,25,BADAUN,28.555,77.057,Less Frequent,3,1,4.7,Light,,,,,
2008,2,6,WEST BENGAL,23.433,87.111,Less Frequent,1,1,4.3,Light,1,50,,,
2008,3,9,GUJARAT,23.33,70.592,Frequent,5,2,4.5,Light,,,,,
2008,6,6,MANPUR,24.702,84.964,Less Frequent,1,1,3.8,Minor,,2,,,
2008,9,16,MAHARASHTRA,17.438,73.915,Very Frequent,8,0,5,Moderate,1,20,,,
2009,3,26,CHAIBASA,22.399,85.903,Less Frequent,1,1,4.1,Light,,5,,,
2009,4,9,JAISALMER,27.143,70.749,Less Frequent,2,1,5.2,Moderate,,6,,,
2009,5,19,KASHMIR,33.198,75.787,Frequent,6,2,4.9,Light,,,,,
2009,8,10,ANDAMAN I,14.099,92.888,Less Frequent,2,1,7.5,Major,,,,,
2009,12,12,SATARA,17.109,73.767,Very Frequent,8,0,5.1,Moderate,,,,,
2010,3,30,ANDAMAN: DIGLIPUR,13.667,92.831,Frequent,4,2,6.7,Strong,,10,,,
2010,5,1,CHAMOLI,30.099,80.026,Frequent,4,2,4.5,Light,,,,,
2010,6,12,LITTLE NICOBAR,7.881,91.936,Less Frequent,2,1,7.5,Major,,,,,
2010,6,18,ANDAMAN: DIGLIPUR,13.197,93.087,Less Frequent,3,1,5.9,Moderate,,,,,
2010,6,22,TAULI,29.872,80.428,Less Frequent,2,1,5.2,Moderate,,,,,
2011,9,7,DELHI,28.724,77.189,Less Frequent,3,1,4.3,Light,,1,,,
2011,9,18,SIKKIM,27.73,88.155,Less Frequent,3,1,6.9,Strong,127,441,2100,,40000
2011,10,20,GUJARAT,21.211,70.533,Less Frequent,2,1,5,Moderate,,34,,,3000
2011,10,29,SIKKIM,27.449,88.684,Less Frequent,3,1,3.5,Minor,2,,,,
2011,11,21,ASSAM,24.955,95.236,Less Frequent,1,1,5.8,Moderate,,,,,
2012,5,11,ASSAM,26.175,92.889,Less Frequent,2,1,5.4,Moderate,,2,,,
2012,10,18,DEURALA,23.739,81.314,Less Frequent,1,1,5,Moderate,,,,,1
2013,5,1,KASHMIR: DODA,33.061,75.863,Frequent,6,2,5.7,Moderate,3,90,19.5,1136,95532
2013,8,2,KASHMIR: KISHTWAR,33.297,75.95,Frequent,6,2,5.2,Moderate,,2,,,
2015,6,28,KOKRAJHAR,26.638,90.41,Less Frequent,2,1,5.1,Moderate,,2,,,
2016,1,3,IMPHAL,24.804,93.651,Less Frequent,3,1,6.7,Strong,13,100,75,,
2017,1,3,AMBASA; BANGLADESH,24.015,92.018,Less Frequent,3,1,5.7,Moderate,3,,,1492,5200
2018,9,12,WEST BENGAL,26.371,90.161,Less Frequent,2,1,5.3,Moderate,1,,,,
2019,2,1,MAHARASHTRA: PALGHAR,19.9,72.8,Less Frequent,2,1,3.6,Minor,1,,,,
2019,7,24,MAHARASHTRA: PALGHAR,20,72.9,Less Frequent,2,1,3.8,Minor,1,,,,
2021,4,28,ASSAM,26.782,92.436,Less Frequent,2,1,6,Strong,2,12,,,428
2023,6,13,KASHMIR: KISHTWAR,33.096,75.896,Frequent,6,2,5,Moderate,,5,,,
